T,RING_SIZE,RING_BYTES,RES_ACT,RES_SKETCH,RES_RING
735,4,104,11,6,3
736,4,104,11,5,13
737,4,104,13,3,14
738,4,104,10,10,10
739,4,104,7,7,3
740,4,104,13,4,4
741,4,104,12,7,12
742,4,104,11,7,12
743,4,104,12,9,4
744,4,104,9,5,3
745,4,104,17,11,12
746,4,104,16,12,14
747,4,104,12,5,4
748,4,104,12,6,12
749,4,104,11,8,13
750,4,104,13,8,4
751,4,104,12,4,3
752,4,104,13,11,14
753,4,104,10,6,11
754,4,104,14,12,15
755,4,104,14,6,14
756,4,104,13,6,14
757,4,104,8,7,5
758,4,104,12,3,13
759,4,104,13,7,13
760,4,104,10,4,3
761,4,104,10,10,3
762,4,104,15,12,4
763,4,104,15,13,16
764,4,104,11,3,3
765,4,104,9,9,3
766,4,104,10,3,14
767,4,104,11,6,4
768,4,104,11,5,4
769,4,104,13,10,3
770,4,104,14,10,15
771,4,104,12,10,13
772,4,104,12,9,14
773,4,104,12,10,15
774,4,104,13,9,14
775,4,104,9,6,3
776,4,104,11,7,4
777,4,104,11,4,4
778,4,104,11,7,15
779,4,104,15,12,4
780,4,104,12,5,4
781,4,104,14,7,15
782,4,104,11,11,15
783,4,104,13,3,4
784,4,104,13,6,5
785,4,104,13,4,13
786,4,104,9,8,5
787,4,104,14,8,14
788,4,104,11,6,4
789,4,104,12,10,13
790,4,104,14,10,13
791,4,104,14,9,5
792,4,104,10,5,5
793,4,104,10,7,4
794,4,104,12,5,5
795,4,104,11,7,4
796,4,104,13,5,4
797,4,104,8,6,4
798,4,104,15,5,5
799,4,104,10,10,4
800,4,104,13,6,6
801,4,104,14,6,14
802,4,104,5,5,16
803,4,104,16,6,6
804,4,104,8,7,11
805,4,104,11,11,5
806,4,104,15,10,6
807,4,104,12,4,5
808,4,104,13,11,16
809,4,104,12,7,5
810,4,104,13,11,5
811,4,104,13,6,6
812,4,104,12,7,5
813,4,104,14,8,14
814,4,104,15,11,15
815,4,104,12,7,5
816,4,104,12,12,16
817,4,104,11,3,16
818,4,104,12,5,14
819,4,104,13,13,15
820,4,104,15,7,16
821,4,104,12,6,15
822,3,104,13,2,6
823,3,104,13,5,6
824,3,104,11,4,25
825,3,104,13,7,6
826,3,104,12,10,6
827,3,104,12,8,5
828,3,104,12,3,26
829,3,104,13,4,27
830,3,104,13,10,27
831,3,104,13,8,6
832,3,104,14,12,28
833,3,104,14,6,7
834,3,104,12,7,22
835,3,104,13,11,6
836,3,104,14,5,28
837,3,104,13,7,6
838,3,104,15,11,25
839,3,104,11,3,7
840,3,104,13,7,19
841,3,104,14,1,6
842,3,104,16,11,7
843,3,104,12,5,26
844,3,104,12,3,6
845,3,104,12,12,6
846,3,104,15,8,6
847,3,104,14,7,7
848,3,104,14,9,7
849,3,104,14,8,7
850,3,104,16,14,28
851,3,104,13,6,7
852,3,104,14,5,7
853,3,104,13,6,27
854,3,104,9,9,23
855,3,104,12,6,4
856,3,104,12,7,24
857,3,104,16,8,7
858,3,104,14,10,27
859,3,104,15,6,29
860,3,104,14,6,5
861,3,104,11,2,25
862,3,104,13,7,7
863,3,104,15,11,29
864,3,104,8,8,8
865,3,104,13,4,28
866,3,104,15,9,8
867,3,104,12,6,26
868,3,104,13,5,28
869,3,104,16,12,27
870,3,104,13,8,7
871,3,104,10,8,5
872,3,104,13,11,7
